District_1,County,Enrollment_1,PercentFreeorReducedLunch,SumofAmountofBondTax,BondAmountPerStudent
Garvey Elementary,Los Angeles,4670,81.8,85000000,18201
Merced River Union Elementary,Merced,176,81.8,2500000,14205
Moreno Valley Unified,Riverside,33134,81.7,448000000,13521
Kings Canyon Joint Unified,Fresno,9792,81.7,100000000,10212
Dinuba Unified,Tulare,6579,81.7,51915000,7891
Klamath-Trinity Joint Unified,Humboldt,1001,81.5,12450000,12438
Armona Union Elementary,Kings,1463,81.5,9285000,6347
Montebello Unified,Los Angeles,26521,81.4,398000000,15007
Ocean View,Ventura,2626,81.3,173200000,65956
Alum Rock Union Elementary,Santa Clara,11270,81.3,444000000,39397
Coalinga-Huron Unified,Fresno,4450,81.3,55100000,12382
Ontario-Montclair,San Bernardino,21100,81.3,209655000,9936
El Centro Elementary,Imperial,6145,81.3,30100000,4898
Val Verde Unified,Riverside,20244,81.2,221440000,10939
Chowchilla Elementary,Madera,2243,81.2,13000000,5796
Los Angeles Unified,Los Angeles,621414,81.1,18205000000,29296
Merced City Elementary,Merced,11077,81.1,86500000,7809
Riverbank Unified,Stanislaus,2988,81.1,15200000,5087
General Shafter Elementary,Kern,147,81,7500000,51020
Hemet Unified,Riverside,21797,81,258000000,11836
Bellevue Union,Sonoma,1845,80.8,31000000,16802
Chatom Union,Stanislaus,582,80.8,5000000,8591
Wasco Union High,Kern,1864,80.6,33500000,17972
Anderson Valley Unified,Mendocino,488,80.5,15250000,31250
Victor Elementary,San Bernardino,12939,80.4,180000000,13911
Santa Ana Unified,Orange,53131,80.4,345150000,6496
Porterville Unified,Tulare,14429,80.2,23000000,1594
Arena Union Elementary,Mendocino,310,80,3700000,11935
Hanford Elementary,Kings,5973,80,24000000,4018
Farmersville Unified,Tulare,2532,80,4800000,1896
Victor Valley Union High,San Bernardino,12969,79.8,500000000,38553
Mountain Valley Unified,Trinity,253,79.8,5950000,23518
Stockton Unified,San Joaquin,40840,79.8,934500000,22882
Kernville Union Elementary,Kern,899,79.8,11600000,12903
Rosemead Elementary,Los Angeles,2438,79.7,90000000,36916
Barstow Unified,San Bernardino,6226,79.3,53000000,8513
Gustine Unified,Merced,1861,79.3,14000000,7523
Marysville Joint Unified,Yuba,10096,79.2,84000000,8320
Kelseyville Unified,Lake,1702,79,26930000,15823
San Jacinto Unified,Riverside,11446,78.9,194900000,17028
Patterson Joint Unified,Stanislaus,6103,78.4,103352058,16935
Alvord Unified,Riverside,19005,78.3,275000000,14470
Shandon Joint Unified,San Luis Obispo,321,78.2,3150000,9813
Merced Union High,Merced,10542,78.1,174083000,16513
Salinas City Elementary,Monterey,8844,77.6,80000000,9046
Black Butte Union Elementary,Shasta,211,77.3,4000000,18957
Orland Joint Unified,Glenn,2241,77.1,21900000,9772
Le Grand Union High,Merced,501,77,6150000,12275
Jurupa Unified,Riverside,19112,76.3,144000000,7535
Oroville Union High,Butte,2199,76.2,10400000,4729
Emery Unified,Alameda,690,75.9,95000000,137681
Fowler Unified,Fresno,2609,75.7,63000000,24147
Big Pine Unified,Inyo,151,75.5,6300000,41722
Buena Park Elementary,Orange,4684,75.4,84800000,18104
Oroville City Elementary,Butte,2637,75.4,6000000,2275
La Habra City Elementary,Orange,4713,75.3,31000000,6578
Rowland Unified,Los Angeles,14132,75.2,276800000,19587
Central Union High,Imperial,4182,75.2,30000000,7174
Needles Unified,San Bernardino,969,75,17719604,18286
Whittier City Elementary,Los Angeles,6104,75,85000000,13925
Briggs Elementary,Ventura,549,75,7000000,12751
Keyes Union,Stanislaus,1154,74.7,5000000,4333
Fillmore Unified,Ventura,3751,74.6,45000000,11997
Rio Elementary,Ventura,5090,74.6,38500000,7564
Centinela Valley Union High,Los Angeles,7501,74.5,255000000,33995
Princeton Joint Unified,Glenn,165,74.5,2750000,16667
Oakland Unified,Alameda,50231,74.4,1213000000,24148
Mount Pleasant Elementary,Santa Clara,2333,74.4,25000000,10716
Palo Verde Unified,Riverside,3006,74.4,10000000,3327
Perris Union High,Riverside,10844,74.1,215420000,19865
Pittsburg Unified,Contra Costa,11537,73.8,310500000,26913
Lemon Grove,San Diego,3730,73.8,50000000,13405
Tulare Joint Union High,Tulare,5544,73.6,90000000,16234
Calistoga Joint Unified,Napa,849,73.4,42000000,49470
Southern Kern Unified,Kern,3560,73.4,64400000,18090
Meadows Union Elementary,Imperial,503,73.4,6000000,11928
Gateway Unified,Shasta,2502,73.3,41000000,16387
Hacienda la Puente Unified,Los Angeles,18438,73,148000000,8027
Santa Maria Joint Union High,Santa Barbara,7949,72.9,223000000,28054
Savanna Elementary,Orange,2272,72.9,53685000,23629
Franklin-McKinley Elementary,Santa Clara,10596,72.9,165400000,15610
Sanger Unified,Fresno,12102,72.9,140800000,11634
Pajaro Valley Unified,Santa Cruz,20279,72.9,208250000,10269
Willits Unified,Mendocino,1895,72.8,45500000,24011
Burton Elementary,Tulare,4920,72.7,8955000,1820
Gridley Unified,Butte,2059,72.6,2500000,1214
Norwalk-La Mirada Unified,Los Angeles,17890,72.5,540000000,30184
Wright Elementary,Sonoma,1567,72.4,14000000,8934
Ukiah Unified,Mendocino,6613,72.4,43000000,6502
Anaheim Union High,Orange,30729,72.1,381000000,12399
Yuba City Unified,Sutter,13236,72.1,56318000,4255
Coast Unified,San Luis Obispo,606,71.9,12700000,20957
Escondido Union,San Diego,18695,71.9,228400000,12217
El Rancho Unified,Los Angeles,8674,71.7,301500000,34759
Fort Bragg Unified,Mendocino,1920,71.7,38200000,19896
Whittier Union High,Los Angeles,11851,71.7,173000000,14598
Holtville Unified,Imperial,1554,71.7,8000000,5148
Enterprise Elementary,Shasta,3782,71.6,34000000,8990
Westminster,Orange,9264,71.5,206000000,22237
Colusa Unified,Colusa,1450,71.5,5900000,4069
Brawley Union High,Imperial,1857,71.4,10000000,5385
Somis Union,Ventura,261,71.3,8000000,30651
Newman-Crows Landing Unified,Stanislaus,3127,71.3,47440000,15171
Bear Valley Unified,San Bernardino,2489,71.3,25000000,10044
Garden Grove Unified,Orange,43163,71.2,561000000,12997
Antelope Valley Union High,Los Angeles,22726,71.2,103600000,4559
South Bay Union,San Diego,7379,71.1,86900000,11777
Santa Rita Union Elementary,Monterey,3568,70.8,14600000,4092
Little Lake City Elementary,Los Angeles,4475,70.6,52000000,11620
Vallejo City Unified,Solano,14468,70.5,239000000,16519
Laytonville Unified,Mendocino,375,70.4,5500000,14667
Fallbrook Union Elementary,San Diego,4864,70.3,32000000,6579
Buena Vista Elementary,Tulare,212,70.3,233000,1099
Eureka City Schools,Humboldt,3929,70.2,92850000,23632
Nuview Union,Riverside,2881,70.2,49600000,17216
Corning Union High,Tehama,974,70.2,8300000,8522
Salinas Union High,Monterey,15631,70.1,217000000,13883
Pierce Joint Unified,Colusa,1473,69.9,21000000,14257
Sacramento City Unified,Sacramento,46595,69.8,834000000,17899
West Contra Costa Unified,Contra Costa,31649,69.6,1630000000,51502
Mattole Unified,Humboldt,779,69.3,2000000,2567
South Bay Union Elementary,Humboldt,913,69.2,4000000,4381
Panama-Buena Vista Union,Kern,18250,69,147000000,8055
Lodi Unified,San Joaquin,31394,68.7,504300000,16064
Exeter Unified,Tulare,2834,68.7,27350000,9651
Central Unified,Fresno,15893,68.6,279300000,17574
Downey Unified,Los Angeles,21962,68.6,313000000,14252
Chowchilla Union High,Madera,1113,68.6,8100000,7278
Bellflower Unified,Los Angeles,11946,68.6,79000000,6613
Morongo Unified,San Bernardino,8652,68.4,48150000,5565
Kern High,Kern,39520,68.3,499000000,12627
Desert Sands Unified,Riverside,28708,68.2,675000000,23513
Covina-Valley Unified,Los Angeles,11862,68.2,245000000,20654
Fortuna Elementary,Humboldt,1347,68.2,10000000,7424
Stanislaus Union Elementary,Stanislaus,3523,68.1,39800000,11297
Guerneville Elementary,Sonoma,278,68,13000000,46763
Happy Valley Union Elementary,Shasta,527,67.9,6295000,11945
John Swett Unified,Contra Costa,1536,67.8,92200000,60026
Los Banos Unified,Merced,10863,67.5,109000000,10034
Hayward Unified,Alameda,22734,67.4,434000000,19090
Visalia Unified,Tulare,28879,67.3,102600000,3553
Alhambra Unified,Los Angeles,16855,67.2,394000000,23376
San Rafael City Elementary,Marin,4730,67.1,183525000,38800
Long Beach Unified,Los Angeles,74681,66.9,2700000000,36154
Duarte Unified,Los Angeles,4318,66.9,62000000,14358
Lompoc Unified,Santa Barbara,10142,66.9,103000000,10156
Antioch Unified,Contra Costa,17233,66.8,118100000,6853
Bayshore Elementary,San Mateo,378,66.7,13000000,34392
Lakeport Unified,Lake,1509,66.5,24300000,16103
Elk Hills Elementary,Kern,187,66.3,7905000,42273
Cajon Valley Union,San Diego,17369,66.3,339900000,19569
Lake Elsinore Unified,Riverside,21937,66.2,105000000,4786
San Lorenzo Unified,Alameda,11530,66.1,262000000,22723
Lakeside Union,Kern,1378,66.1,22500000,16328
Del Norte County Unified,Del Norte,3628,66,24987000,6887
Center Joint Unified,Sacramento,4332,65.9,500000000,115420
West Covina Unified,Los Angeles,12754,65.9,183000000,14348
Potter Valley Community Unified,Mendocino,255,65.9,3100000,12157
Modesto City High,Stanislaus,15488,65.8,65000000,4197
Washington Unified,Yolo,8281,65.5,158880000,19186
Riverside Unified,Riverside,42428,65.4,567000000,13364
Lost Hills Union Elementary,Kern,510,65.1,13200000,25882
Winters Joint Unified,Yolo,1531,64.9,32000000,20901
Denair Unified,Stanislaus,1273,64.9,21200000,16654
Blue Lake Union Elementary,Humboldt,185,64.9,2000000,10811
Aromas/San Juan Unified,San Benito,1101,64.8,20900000,18983
Apple Valley Unified,San Bernardino,14415,64.5,36000000,2497
Monterey Peninsula Unified,Monterey,10685,64.2,323000000,30229
Paradise Elementary,Stanislaus,192,64.1,400000,2083
San Gabriel Unified,Los Angeles,7244,64,112150000,15482
Central Elementary,San Bernardino,4555,63.9,66000000,14490
El Tejon Unified,Kern,754,63.8,23120000,30663
San Leandro Unified,Alameda,8880,63.5,263100000,29628
Hanford Joint Union High,Kings,3802,63.5,66500000,17491
Mark Twain Union Elementary,Calaveras,821,63.5,9600000,11693
Bradley Union Elementary,Monterey,275,63.3,1100000,4000
Ballico-Cressey Elementary,Merced,367,63.2,6500000,17711
Oxnard Union High,Ventura,17474,63,485000001,27756
Vista Unified,San Diego,24708,63,139800000,5658
Lincoln Unified,San Joaquin,9420,62.6,98500000,10456
Waterford Unified,Stanislaus,3967,62.6,10650000,2685
Woodland Joint Unified,Yolo,10041,62.4,40000000,3984
Turlock Unified,Stanislaus,14241,62.3,332375000,23339
Santa Rosa Elementary,Sonoma,5246,62.1,73000000,13915
Middletown Unified,Lake,1712,62,15300000,8937
Manteca Unified,San Joaquin,23757,61.9,225000000,9471
Carpinteria Unified,Santa Barbara,2205,61.5,90000000,40816
Hollister,San Benito,5856,61.4,64500000,11014
Mountain View Elementary,San Bernardino,2559,61.3,188000000,73466
Chaffey Joint Union High,San Bernardino,23969,61.3,848000000,35379
Redding Elementary,Shasta,3292,60.9,28000000,8505
Sonoma Valley Unified,Sonoma,4451,60.8,160000000,35947
Fallbrook Union High,San Diego,2165,60.8,45000000,20785
